"","File","Group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","Station"
"62e","62e_quant","62",97.5752588174504,39.5833596914243,43.1750805391628,-133.122025997129,-104.35582110817,-84.2333309306145,23.8881853292969,-27.7143644933877,5.50998376722442,35.0319332913103,18.1971459379648,14.0895954211605,11.8311769053671,-19.7010630262498,-0.762883101654984,6.12251371376781,-11.6358460968693,-6.0633195290083,-18.5249193066234,-6.5327596760948,-0.805239182939007,-11.9319687130756,4.31787579944396,-8.07915852386041,0.641348347643188,-6.58575446645191,0.216759650286596,-1.82255977559681,1.80280217880955,-3.36789027655798e-13," 200.000"
"77a","77a_quant","77",-115.463859236652,48.6222642518149,-7.85941400683468,-22.8192493133146,9.63421789644243,-6.84160943937594,-1.28235734456271,-6.63092549996999,31.5959466804612,-16.6479871863187,13.3793706317726,-17.9348665740718,-23.9016294734996,18.1832520262306,-5.42183807376397,23.1124560490396,-7.20155307967276,29.1682488652416,-57.9432374693731,45.5841577969182,-30.1429010657058,68.3765214606424,16.2057396123582,-17.4059528282682,-59.3951653701384,72.1732739073343,59.6880575244875,-7.70810558059742,-3.83180674409304,6.95567193252644e-13," 000.100"
"77b","77b_quant","77",-42.3158593832637,-2.33435749357229,37.6647776913647,29.7058961512728,-0.657356287022688,34.340535800456,10.5659673537793,-97.2161810090291,6.37457424601014,56.9867932287879,24.7527336400385,48.1294709206658,-18.8656007411575,-29.2017774040374,16.405951627807,-7.0781866610901,-6.44476071737403,26.3051963562798,34.2327474903617,11.0600300543498,3.47867588513821,31.9282848310553,-7.36668328982151,25.3354598113094,-35.1016182452483,28.5402497653729,-76.6057128375921,54.3565792292237,3.66814534766683,-3.4887284033891e-13," 000.100"
"77c","77c_quant","77",-30.5985891086722,15.847675294051,-13.3901745954213,12.5636595560997,2.8628800734589,45.2649369460067,-7.01290178616091,-69.0698565046899,-10.4954359288731,39.086120807724,0.444432405488116,40.1803238797949,-20.9870456733667,-37.8328562052569,-17.1220205898233,-4.51090499740345,-22.0754007384689,39.568664613872,29.6297487864908,11.8143807762418,-14.3862796414972,-20.1670593208862,-34.1085628794824,-50.9879435570129,30.3586210515424,-40.370190701116,64.8418629261512,-79.8515364200169,1.31870450147908,-3.42462115523329e-13," 000.100"
"77d","77d_quant","77",-136.206982382885,104.124459212082,-26.9542428314959,-29.9877861442211,22.3180006304257,8.39426252524409,-6.63378798987018,17.6001216312952,4.20465727436597,-4.5615298589349,9.36614363710944,23.4902490171472,42.1081712673114,24.0024393725598,28.4900826936853,25.3980596911242,34.5953572617079,-6.40088518012006,2.04180328616591,5.80933606491559,-9.60870366180706,4.05943517630328,-18.9590366962834,-54.3271508827653,14.0549465565806,-80.5588481784314,2.00070101599356,80.0491361502383,-2.7413678245846,-1.94952832089507e-13," 000.100"
"77e","77e_quant","77",-127.957011150145,53.4740811029326,-40.9683338747393,-28.4156062782936,43.5061558725865,-2.21778720559668,7.49144221578197,-19.2377580621979,-0.0161624917245424,-32.8301658444709,44.53142861936,26.8375468250308,36.0352422881373,-29.521424475803,25.1413328510484,7.86488350213144,-25.6654306756419,-21.0722324967849,-15.1181592582802,-52.5564341425169,60.6834637758717,-41.6830364430467,4.06530026201384,58.891349150211,45.0892869186134,55.6812949863097,11.242935373882,-17.6529033625615,5.7331662042024,4.69419208365407e-13," 000.100"
"81a","81a_quant","81",-5.04457495848949,-57.9038048749152,0.740695666816364,-33.7367449156666,19.4695828040828,1.85615508957353,-41.8326687750294,13.4591726865009,-4.84010898889421,-20.3646107967097,100.775594478565,-33.8936572830313,41.4254402438008,10.4779047463752,-20.2766596718166,-90.7724226390114,-20.2595171121175,-10.3914890883519,19.8420765713741,38.1842462973256,-48.1951712924744,33.2919479769766,-29.8612635440757,35.2846599827713,17.2054627341444,-23.2029401221684,-6.78249130884941,-8.55713464676412,-1.96175650575916,2.11842059194035e-13,"-100.100"
"81b","81b_quant","81",26.1003783317169,-44.3580768219928,-0.931537377945805,-2.1780377316715,9.56202746413447,38.7542363587856,-23.9729048245478,-3.44442723351379,45.9131732121911,-14.5502440199197,25.9967644427031,-22.4035712225397,-12.6386176080608,-49.3263224830748,-58.7904312083738,-4.33627183259382,-36.0897941738932,-73.2133448840472,3.67934839058024,-41.4028300866128,54.0475128500011,20.8371181814894,55.7035061119336,-66.5520983435998,-36.5425477305641,-21.5874521339466,2.01863442531508,16.0345812831371,3.15492719632441,-4.41787773898528e-13,"-100.100"
"81c","81c_quant","81",-114.677595635454,39.767380883052,38.8735685592214,-10.609818697253,-33.6938428697302,28.5642323585734,-49.3288927351615,36.4263641644335,27.21480419246,2.96551293288435,-45.0257768303698,-17.7541633046265,-65.9610121116411,13.8053151030729,-62.7716066009164,21.9957193850076,-61.6630431373821,-10.3023454433197,-3.38240392659765,30.6240386705739,-25.6684595759058,-58.8442541841511,-0.916417106180723,48.9838043016673,25.4421818063155,-12.2614962946311,-25.194896557759,15.5460687106312,-6.21813205993609,5.81805220320475e-13,"-100.100"
"81d","81d_quant","81",-81.7897257287142,-26.4773513548166,72.4470065735155,-21.8758849353458,-28.4563254420524,16.6645075033702,-23.4096407346453,61.2273712437467,17.1249094314523,26.9469100284298,8.87207292040192,-16.7702419556488,-9.29050206575779,33.257904660423,15.5587753856826,-9.46119523944248,68.9395358548181,30.4757365898327,98.8944838626448,-45.6353740087007,24.3993606826719,-2.53413268394088,19.3686376834442,-5.27101592397127,-4.17647377128483,34.3369332266065,30.1496898002302,-12.6677412703728,3.60713143355984,1.88937515806231e-13,"-100.100"
