PrDM	T090C	T190C	C0S/m	C1S/m	Par	OxMm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
39.398	-1.5402	-1.5499	2.696304	2.695117	1.87E+01	304.324	33.9128	-0.00113	-0.0097	94.9083	-68.25802	-75.15876	0.3965	0	-0.0097	33.9216	33.9163	-0.0046	-0.001187	39	33.9216	33.9163	27.2971	27.2971	-0.0097	-0.001187	-0.0046	0.00E+00
40.409	-1.5375	-1.4998	2.696481	2.699668	1.74E+01	304.895	33.9171	0.003091	0.0376	94.8929	-68.25802	-75.15876	0.4883	0	0.0377	33.9203	33.9215	-0.0001	0.003188	40	33.9203	33.9215	27.296	27.296	0.0377	0.003188	-0.0001	0.00E+00
41.419	-1.4889	-1.4912	2.701359	2.700853	1.61E+01	305.01	33.924	-0.000471	-0.0022	94.8468	-68.25802	-75.15876	0.4649	0	-0.0022	33.9318	33.9274	-0.004	-0.000506	41	33.9318	33.9274	27.3039	27.3039	-0.0022	-0.000506	-0.004	0.00E+00
42.429	-1.4881	-1.4879	2.701582	2.701336	1.53E+01	304.966	33.9268	-0.000226	0.0002	94.7937	-68.25802	-75.15876	0.5421	0	0.0002	33.9334	33.9297	-0.0034	-0.000246	42	33.9334	33.9297	27.3051	27.3051	0.0002	-0.000246	-0.0034	0.00E+00
43.44	-1.4867	-1.4865	2.701906	2.701644	1.47E+01	304.269	33.9294	-0.000247	0.0002	94.7965	-68.25802	-75.15876	0.5753	0	0.0002	33.9355	33.9317	-0.0037	-0.000262	43	33.9355	33.9317	27.3069	27.3069	0.0002	-0.000262	-0.0037	0.00E+00
44.45	-1.5201	-1.5224	2.699415	2.698964	1.44E+01	302.005	33.9346	-0.000436	-0.0024	94.8065	-68.25802	-75.15876	0.5037	0	-0.0024	33.9385	33.935	-0.0033	-0.000451	44	33.9385	33.935	27.3103	27.3103	-0.0024	-0.000451	-0.0033	0.00E+00
45.46	-1.5648	-1.5643	2.696012	2.695742	1.35E+01	300.075	33.9386	-0.000263	0.0005	94.8628	-68.25802	-75.15876	0.4977	0	0.0005	33.9418	33.9375	-0.0042	-0.00027	45	33.9418	33.9375	27.3142	27.3142	0.0005	-0.00027	-0.0042	0.00E+00
46.471	-1.6	-1.5991	2.693198	2.692979	1.26E+01	298.432	33.9402	-0.000214	0.0009	94.9377	-68.25802	-75.15876	0.4793	0	0.0009	33.9423	33.9382	-0.004	-0.000219	46	33.9423	33.9382	27.3156	27.3156	0.0009	-0.000218	-0.004	0.00E+00
47.481	-1.6494	-1.6498	2.689166	2.68885	1.19E+01	296.019	33.9413	-0.000311	-0.0004	94.9641	-68.25802	-75.15876	0.4588	0	-0.0004	33.9421	33.9382	-0.0038	-0.000316	47	33.9421	33.9382	27.3168	27.3168	-0.0004	-0.000316	-0.0038	0.00E+00
48.492	-1.7157	-1.7124	2.683862	2.683779	1.15E+01	294.501	33.943	-0.000087	0.0033	95.1351	-68.25802	-75.15876	0.3931	0	0.0033	33.9435	33.9386	-0.005	-0.000083	48	33.9435	33.9386	27.3198	27.3198	0.0033	-0.000083	-0.005	0.00E+00
