"","x"
"332","Acutus_14873.49938"
"333","Acutus_19500.0"
"334","Acutus_14873.11069"
"335","Acutus_14873.47485"
"336","Acutus_14873.13817"
"337","Acutus_3706.0"
"338","Acutus_5602.1"
"339","Acutus_14873.29339"
"340","Acutus_9506.5"
"341","Acutus_14873.33635"
"342","Acutus_841.13"
"343","Acutus_14873.26456"
"344","Acutus_14873.53759"
"345","Acutus_9321.0"
"346","Acutus_1044.0"
"347","Acutus_14873.984"
"348","Acutus_14873.48850"
"349","Acutus_14873.27260"
"350","Acutus_14873.68879"
"351","Acutus_14873.25215"
"352","Acutus_14873.24915"
"353","Acutus_14349.0"
"354","Acutus_14873.40941"
"355","Acutus_12196.0"
"356","Acutus_14873.13399"
"357","Acutus_14873.23122"
"358","Acutus_14873.6658"
"359","Acutus_14873.25206"
"360","Acutus_14873.5619"
"361","Acutus_14873.5181"
"362","Acutus_14873.2318"
"363","Acutus_20881.0"
"364","Acutus_14873.16346"
"365","Acutus_22384.0"
"366","Acutus_14873.52111"
"367","Acutus_14873.25946"
"368","Acutus_14873.19141"
"369","Acutus_14873.9822"
"370","Acutus_14873.15133"
"371","Acutus_14873.50067"
"372","Acutus_14873.42035"
"373","Acutus_14873.33840"
"374","Acutus_14873.22199"
"375","Acutus_14873.7812"
"376","Acutus_14873.20034"
"377","Acutus_14700.5"
"378","Acutus_14873.23314"
"379","Acutus_14873.2048"
"380","Acutus_14873.50760"
"381","Acutus_16337.0"
"382","Acutus_13215.1"
"383","Acutus_14873.58128"
"384","Acutus_14873.33007"
"385","Acutus_14873.16515"
"386","Acutus_14873.71895"
"387","Acutus_14873.8065"
"388","Acutus_14873.54909"
"389","Acutus_14873.61550"
"390","Acutus_14873.21268"
"391","Acutus_14873.40094"
"392","Acutus_14873.27483"
"393","Acutus_14873.28827"
"394","Acutus_14873.2082"
"395","Acutus_14873.54409"
"396","Acutus_14873.26248"
"397","Acutus_14873.20050"
"398","Acutus_14873.26728"
"399","Acutus_14873.53986"
"400","Acutus_14873.47990"
"401","Acutus_19150.0"
"402","Acutus_14873.44938"
"403","Acutus_14873.12544"
"404","Acutus_14873.45213"
"405","Acutus_14873.28830"
"406","Acutus_14873.2098"
"407","Acutus_22865.0"
"408","Acutus_14873.12176"
"409","Acutus_14873.39485"
"410","Acutus_14873.66840"
"411","Acutus_14873.53076"
"412","Acutus_14873.36295"
"413","Acutus_14873.64432"
"414","Acutus_18467.0"
"415","Acutus_10408.0"
"416","Acutus_14873.25446"
"417","Acutus_14873.7964"
"418","Acutus_21834.2"
"419","Acutus_14873.27416"
"420","Acutus_14873.18090"
"421","Acutus_14873.53399"
"422","Acutus_14873.52114"
"423","Acutus_14873.66865"
"424","Acutus_14873.47261"
"425","Acutus_14873.35372"
"426","Acutus_16439.0"
"427","Acutus_14873.20031"
"428","Acutus_14873.22872"
"429","Acutus_14873.64505"
"430","Acutus_14873.6061"
"431","Acutus_14873.25526"
"432","Acutus_9685.0"
"433","Acutus_2268.0"
"434","Acutus_14873.12835"
"435","Acutus_13710.0"
"436","Acutus_14873.14729"
"437","Acutus_14873.22623"
"438","Acutus_14873.7142"
"439","Acutus_14873.19566"
"440","Acutus_14873.57693"
"441","Acutus_14873.38926"
"442","Acutus_14873.23412"
"443","Acutus_23417.1"
"444","Acutus_14873.34159"
"445","Acutus_21068.1"
"446","Acutus_14873.27451"
"447","Acutus_14873.16898"
"448","Acutus_14873.58542"
"449","Acutus_14873.44369"
"450","Acutus_14873.32906"
"451","Acutus_14873.33188"
"452","Acutus_14873.11356"
"453","Acutus_14873.31974"
"454","Acutus_15443.1"
"455","Acutus_14873.63444"
"456","Acutus_14873.67459"
"457","Acutus_14873.71663"
"458","Acutus_14873.46068"
"459","Acutus_14873.7271"
"460","Acutus_14873.11308"
"461","Acutus_14873.66555"
"462","Acutus_14873.28370"
"463","Acutus_14873.9008"
"464","Acutus_14873.16338"
"465","Acutus_14873.15449"
"466","Acutus_14873.38426"
"467","Acutus_14873.52863"
"468","Acutus_14873.64186"
"469","Acutus_14873.60039"
"470","Acutus_14873.53839"
"471","Acutus_14873.31084"
"472","Acutus_14873.25359"
"473","Acutus_18109.1"
"474","Acutus_14873.26476"
"475","Acutus_14873.6585"
"476","Acutus_14873.19748"
"477","Acutus_4674.0"
"478","Acutus_1925.0"
"479","Acutus_14873.18869"
"480","Acutus_14873.68357"
"481","Acutus_14873.67092"
"482","Acutus_23168.0"
"483","Acutus_14873.27996"
"484","Acutus_17011.0"
"485","Acutus_14873.63399"
"486","Acutus_14873.60370"
"487","Acutus_14873.16522"
"488","Acutus_14873.13255"
"489","Acutus_14873.16420"
"490","Acutus_14873.26532"
"491","Acutus_14873.43583"
"492","Acutus_14873.59634"
"493","Acutus_14873.55452"
"494","Acutus_14873.45440"
"495","Acutus_14873.37295"
"496","Acutus_5586.0"
"497","Acutus_16930.0"
"498","Acutus_14873.23605"
"499","Acutus_14873.17646"
"500","Acutus_14873.19554"
"501","Acutus_14873.73312"
"502","Acutus_14873.1965"
"503","Acutus_14873.18468"
"504","Acutus_13673.2"
"505","Acutus_13484.0"
"506","Acutus_14873.19785"
"507","Acutus_14873.31312"
"508","Acutus_14873.72690"
"509","Acutus_14873.21061"
"510","Acutus_20492.0"
"511","Acutus_14873.29724"
"512","Acutus_14873.23590"
"513","Acutus_14873.49201"
"514","Acutus_14873.28153"
"515","Acutus_14873.55727"
"516","Acutus_14873.16344"
"517","Acutus_14873.41724"
"518","Acutus_9054.0"
"519","Acutus_14873.43660"
"520","Acutus_14873.11992"
"521","Acutus_14873.67353"
"522","Acutus_14873.20915"
"523","Acutus_11240.0"
"524","Acutus_14873.12105"
"525","Acutus_14873.15834"
"526","Acutus_8622.0"
"527","Acutus_14873.59685"
"528","Acutus_14873.16920"
"529","Acutus_14873.14561"
"530","Acutus_14873.3209"
"531","Acutus_14873.58406"
"532","Acutus_8008.0"
"533","Acutus_20866.0"
"534","Acutus_14873.19024"
"535","Acutus_14873.16833"
"536","Acutus_14873.25567"
"537","Acutus_14873.21255"
"538","Acutus_14873.6882"
"539","Acutus_14873.23774"
"540","Acutus_14873.24455"
"541","Acutus_14873.11925"
"542","Acutus_14873.14423"
"543","Acutus_14873.11972"
"544","Acutus_10.0"
"545","Acutus_14873.43186"
"546","Acutus_14873.67482"
"547","Acutus_14873.21484"
"548","Acutus_14873.12127"
"549","Acutus_14873.24624"
"550","Acutus_18335.1"
"551","Acutus_14873.33568"
"552","Acutus_14873.13567"
"553","Acutus_14873.31046"
"554","Acutus_14873.54932"
"555","Acutus_14873.11178"
"556","Acutus_14873.19551"
"557","Acutus_14873.44265"
"558","Acutus_14873.45667"
"559","Acutus_14873.20213"
"560","Acutus_14873.17999"
"561","Acutus_14873.39448"
"562","Acutus_14873.19894"
"563","Acutus_16131.1"
"564","Acutus_14873.26916"
"565","Acutus_14873.4428"
"566","Acutus_14873.27328"
"567","Acutus_14873.3207"
"568","Acutus_14873.66746"
"569","Acutus_14873.51674"
"570","Acutus_14873.38893"
"571","Acutus_14873.22058"
"572","Acutus_12301.0"
"573","Acutus_11731.2"
"574","Acutus_14873.40539"
"575","Acutus_14873.19334"
"576","Acutus_14873.63986"
"577","Acutus_14873.26405"
"578","Acutus_14873.63379"
"579","Acutus_14873.67865"
"580","Acutus_14873.9946"
"581","Acutus_14873.47488"
"582","Acutus_14873.67822"
"583","Acutus_14873.23791"
"584","Acutus_14873.25201"
"585","Acutus_14873.9947"
"586","Acutus_22482.0"
"587","Acutus_14873.16341"
"588","Acutus_21570.2"
"589","Acutus_14873.10144"
"590","Acutus_14873.56781"
"591","Acutus_14873.30403"
"592","Acutus_14873.14830"
"593","Acutus_14873.64808"
"594","Acutus_14873.7804"
"595","Acutus_14873.16804"
"596","Acutus_14873.38402"
"597","Acutus_14873.49619"
"598","Acutus_14873.41324"
"599","Acutus_14873.16744"
"600","Acutus_14873.15831"
"601","Acutus_14873.24918"
"602","Acutus_14873.29324"
"603","Acutus_14873.13620"
"604","Acutus_19459.0"
"605","Acutus_14873.1966"
"606","Acutus_14873.30525"
"607","Acutus_21591.4"
"608","Acutus_15920.3"
"609","Acutus_14873.41777"
"610","Acutus_14873.38924"
"611","Acutus_14873.59530"
"612","Acutus_14873.19770"
"613","Acutus_14873.31328"
"614","Acutus_14873.22609"
"615","Acutus_14873.17858"
"616","Acutus_22982.0"
"617","Acutus_7820.3"
"618","Acutus_14873.14731"
"619","Acutus_16034.0"
"620","Acutus_14873.21493"
"621","Acutus_14873.70977"
"622","Acutus_11078.1"
"623","Acutus_1905.0"
"624","Acutus_14873.20029"
"625","Acutus_14873.56937"
"626","Acutus_9148.0"
